algorithm	fanout	cascading	input_size	run	time
rank_unbounded	8	256	100000	1	0.0993333
rank_unbounded	8	256	100000	2	0.0991456
rank_unbounded	8	256	100000	3	0.0989089
rank_unbounded	8	256	100000	4	0.0989288
rank_unbounded	8	256	1000000	0	1.54065
rank_unbounded	8	256	1000000	1	1.55784
rank_unbounded	8	256	1000000	2	1.54538
rank_unbounded	8	256	1000000	3	1.54603
rank_unbounded	8	512	10000	0	0.00695451
rank_unbounded	8	512	10000	1	0.00685283
rank_unbounded	8	512	10000	2	0.00684875
rank_unbounded	8	512	10000	3	0.00695147
rank_unbounded	8	512	10000	4	0.00701988
rank_unbounded	8	512	100000	0	0.110855
rank_unbounded	8	512	100000	1	0.106659
rank_unbounded	8	512	100000	2	0.12145
rank_unbounded	8	512	100000	3	0.107161
rank_unbounded	8	512	100000	4	0.107222
rank_unbounded	8	512	1000000	0	1.70438
rank_unbounded	8	512	1000000	1	1.70623
rank_unbounded	8	512	1000000	2	1.70751
rank_unbounded	8	1024	10000	0	0.00710377
rank_unbounded	8	1024	10000	1	0.00712732
rank_unbounded	8	1024	10000	2	0.0070984
rank_unbounded	8	1024	10000	3	0.0071074
rank_unbounded	8	1024	10000	4	0.00713054
rank_unbounded	8	1024	100000	0	0.119218
rank_unbounded	8	1024	100000	1	0.115198
rank_unbounded	8	1024	100000	2	0.115722
rank_unbounded	8	1024	100000	3	0.11525
rank_unbounded	8	1024	100000	4	0.115225
rank_unbounded	8	1024	1000000	0	1.88155
rank_unbounded	8	1024	1000000	1	1.87097
rank_unbounded	8	1024	1000000	2	1.87081
rank_unbounded	16	1	10000	0	0.0116137
rank_unbounded	16	1	10000	1	0.00530044
rank_unbounded	16	1	10000	2	0.00512753
rank_unbounded	16	1	10000	3	0.00511011
rank_unbounded	16	1	10000	4	0.00506307
rank_unbounded	16	1	100000	0	0.19053
rank_unbounded	16	1	100000	1	0.170706
rank_unbounded	16	1	100000	2	0.185741
rank_unbounded	16	1	100000	3	0.168775
rank_unbounded	16	1	100000	4	0.168715
rank_unbounded	16	1	1000000	0	1.48413
rank_unbounded	16	1	1000000	1	1.46934
rank_unbounded	16	1	1000000	2	1.48365
rank_unbounded	16	1	1000000	3	1.47196
rank_unbounded	16	2	10000	0	0.00829464
rank_unbounded	16	2	10000	1	0.00477095
rank_unbounded	16	2	10000	2	0.0047228
rank_unbounded	16	2	10000	3	0.00471347
rank_unbounded	16	2	10000	4	0.00469559
rank_unbounded	16	2	100000	0	0.130757
rank_unbounded	16	2	100000	1	0.118645
rank_unbounded	16	2	100000	2	0.119146
rank_unbounded	16	2	100000	3	0.118141
rank_unbounded	16	2	100000	4	0.118552
rank_unbounded	16	2	1000000	0	1.30825
rank_unbounded	16	2	1000000	1	1.29554
rank_unbounded	16	2	1000000	2	1.27846
rank_unbounded	16	2	1000000	3	1.29525
rank_unbounded	16	4	10000	0	0.00547244
rank_unbounded	16	4	10000	1	0.00506424
rank_unbounded	16	4	10000	2	0.00507799
rank_unbounded	16	4	10000	3	0.00505125
rank_unbounded	16	4	10000	4	0.00505349
rank_unbounded	16	4	100000	0	0.0811361
rank_unbounded	16	4	100000	1	0.080994
rank_unbounded	16	4	100000	2	0.0808867
rank_unbounded	16	4	100000	3	0.0809618
rank_unbounded	16	4	100000	4	0.0811949
rank_unbounded	16	4	1000000	0	1.22929
rank_unbounded	16	4	1000000	1	1.25916
rank_unbounded	16	4	1000000	2	1.24168
rank_unbounded	16	4	1000000	3	1.25841
rank_unbounded	16	4	1000000	4	1.2575
rank_unbounded	16	8	10000	0	0.00665636
rank_unbounded	16	8	10000	1	0.00561362
rank_unbounded	16	8	10000	2	0.00556175
rank_unbounded	16	8	10000	3	0.00557349
rank_unbounded	16	8	10000	4	0.00555564
rank_unbounded	16	8	100000	0	0.095151
rank_unbounded	16	8	100000	1	0.0813224
rank_unbounded	16	8	100000	2	0.0811746
rank_unbounded	16	8	100000	3	0.0814064
rank_unbounded	16	8	100000	4	0.0812923
rank_unbounded	16	8	1000000	0	1.25726
rank_unbounded	16	8	1000000	1	1.27192
rank_unbounded	16	8	1000000	2	1.27246
rank_unbounded	16	8	1000000	3	1.2724
rank_unbounded	16	16	10000	0	0.00572268
rank_unbounded	16	16	10000	1	0.0054393
rank_unbounded	16	16	10000	2	0.00541086
rank_unbounded	16	16	10000	3	0.00539581
rank_unbounded	16	16	10000	4	0.00544786
rank_unbounded	16	16	100000	0	0.0850909
rank_unbounded	16	16	100000	1	0.0766494
rank_unbounded	16	16	100000	2	0.0765888
rank_unbounded	16	16	100000	3	0.0766911
rank_unbounded	16	16	100000	4	0.0766907
rank_unbounded	16	16	1000000	0	1.22851
rank_unbounded	16	16	1000000	1	1.24084
rank_unbounded	16	16	1000000	2	1.24301
rank_unbounded	16	16	1000000	3	1.24393
rank_unbounded	16	16	1000000	4	1.23977
rank_unbounded	16	32	10000	0	0.00597595
rank_unbounded	16	32	10000	1	0.00577401
rank_unbounded	16	32	10000	2	0.0057659
rank_unbounded	16	32	10000	3	0.00595212
rank_unbounded	16	32	10000	4	0.00581157
rank_unbounded	16	32	100000	0	0.0869871
rank_unbounded	16	32	100000	1	0.0958316
rank_unbounded	16	32	100000	2	0.0813596
rank_unbounded	16	32	100000	3	0.081032
rank_unbounded	16	32	100000	4	0.0816161
rank_unbounded	16	32	1000000	0	1.28573
rank_unbounded	16	32	1000000	1	1.28877
rank_unbounded	16	32	1000000	2	1.27623
rank_unbounded	16	32	1000000	3	1.28969
rank_unbounded	16	64	10000	0	0.00639
rank_unbounded	16	64	10000	1	0.00636489
rank_unbounded	16	64	10000	2	0.00633054
rank_unbounded	16	64	10000	3	0.00636023
rank_unbounded	16	64	10000	4	0.00641017
rank_unbounded	16	64	100000	0	0.0941554
rank_unbounded	16	64	100000	1	0.0896
rank_unbounded	16	64	100000	2	0.0900659
rank_unbounded	16	64	100000	3	0.0895629
rank_unbounded	16	64	100000	4	0.0894192
rank_unbounded	16	64	1000000	0	1.37903
rank_unbounded	16	64	1000000	1	1.34409
rank_unbounded	16	64	1000000	2	1.34749
rank_unbounded	16	64	1000000	3	1.34661
rank_unbounded	16	128	10000	0	0.00688432
rank_unbounded	16	128	10000	1	0.00695295
rank_unbounded	16	128	10000	2	0.00683968
rank_unbounded	16	128	10000	3	0.00683532
